StateDesc,StateAbbr,Value,Condition
North Carolina,NC,18.8,Mental Health
North Dakota,ND,15.4,Mental Health
Ohio,OH,19.5,Mental Health
Oklahoma,OK,19.3,Mental Health
Oregon,OR,19.6,Mental Health
Pennsylvania,PA,,Mental Health
Rhode Island,RI,15.8,Mental Health
South Carolina,SC,18.55,Mental Health
South Dakota,SD,16.5,Mental Health
Tennessee,TN,22.0,Mental Health
Texas,TX,18.5,Mental Health
Utah,UT,18.1,Mental Health
Vermont,VT,17.7,Mental Health
Virginia,VA,18.6,Mental Health
Washington,WA,18.3,Mental Health
West Virginia,WV,23.4,Mental Health
Wisconsin,WI,17.25,Mental Health
Wyoming,WY,17.2,Mental Health
Alabama,AL,41.5,Sleep <7h
Alaska,AK,37.25,Sleep <7h
Arizona,AZ,37.6,Sleep <7h
Arkansas,AR,41.1,Sleep <7h
California,CA,35.2,Sleep <7h
Colorado,CO,31.8,Sleep <7h
Connecticut,CT,37.4,Sleep <7h
Delaware,DE,36.5,Sleep <7h
District of Columbia,DC,32.8,Sleep <7h
Florida,FL,39.5,Sleep <7h
Georgia,GA,39.7,Sleep <7h
Hawaii,HI,42.6,Sleep <7h
Idaho,ID,34.0,Sleep <7h
Illinois,IL,37.2,Sleep <7h
Indiana,IN,37.75,Sleep <7h
Iowa,IA,33.9,Sleep <7h
Kansas,KS,35.8,Sleep <7h
Kentucky,KY,41.7,Sleep <7h
Louisiana,LA,41.75,Sleep <7h
Maine,ME,34.95,Sleep <7h
Maryland,MD,37.55,Sleep <7h
Massachusetts,MA,34.5,Sleep <7h
Michigan,MI,35.0,Sleep <7h
Minnesota,MN,31.2,Sleep <7h
Mississippi,MS,39.9,Sleep <7h
Missouri,MO,39.4,Sleep <7h
Montana,MT,33.1,Sleep <7h
Nebraska,NE,32.3,Sleep <7h
Nevada,NV,38.2,Sleep <7h
New Hampshire,NH,34.45,Sleep <7h
New Jersey,NJ,38.5,Sleep <7h
New Mexico,NM,36.0,Sleep <7h
New York,NY,38.45,Sleep <7h
North Carolina,NC,35.45,Sleep <7h
North Dakota,ND,33.6,Sleep <7h
Ohio,OH,39.55,Sleep <7h
Oklahoma,OK,38.4,Sleep <7h
Oregon,OR,33.25,Sleep <7h
Pennsylvania,PA,39.3,Sleep <7h
Rhode Island,RI,33.1,Sleep <7h
South Carolina,SC,39.1,Sleep <7h
South Dakota,SD,31.15,Sleep <7h
Tennessee,TN,39.7,Sleep <7h
Texas,TX,39.5,Sleep <7h
Utah,UT,35.2,Sleep <7h
Vermont,VT,31.15,Sleep <7h
Virginia,VA,37.9,Sleep <7h
Washington,WA,32.3,Sleep <7h
West Virginia,WV,43.4,Sleep <7h
Wisconsin,WI,33.9,Sleep <7h
Wyoming,WY,32.5,Sleep <7h
